NO,x,y,unit,mod,state,option
1,8.9,20,THB_XRP,0,buy,limit
2,8.9,20,THB_XRP,0,buy,limit
3,8.9,20,THB_XRP,0,buy,limit
4,8.9,20,THB_XRP,0,buy,limit
5,8.9,20,THB_XRP,0,buy,limit
6,8.9,20,THB_XRP,0,buy,limit
7,8.9,20,THB_XRP,0,buy,limit
8,8.9,20,THB_XRP,0,buy,limit
9,8.9,20,THB_XRP,0,buy,limit
9,8.9,20,THB_XRP,0,buy,limit
10,8.9,20,THB_XRP,0,buy,limit
11,8.9,20,THB_XRP,0,buy,limit
12,8.9,20,THB_XRP,0,buy,limit
13,8.9,20,THB_XRP,0,buy,limit
14,8.9,20,THB_XRP,0,buy,limit
15,8.9,20,THB_XRP,0,buy,limit
16,8.9,20,THB_XRP,0,buy,limit
17,8.9,20,THB_XRP,0,buy,limit
18,8.9,20,THB_XRP,0,buy,limit
19,8.9,20,THB_XRP,0,buy,limit
20,8.9,20,THB_XRP,0,buy,limit
