NO,x,y,unit,mod,state,option
1,20,11,THB_XRP,0,sell,limit
2,20,11,THB_XRP,0,sell,limit
3,20,11,THB_XRP,0,sell,limit
4,20,11,THB_XRP,0,sell,limit
5,20,11,THB_XRP,0,sell,limit
6,20,11,THB_XRP,0,sell,limit
7,20,11,THB_XRP,0,sell,limit
8,20,11,THB_XRP,0,sell,limit
9,20,11,THB_XRP,0,sell,limit
9,20,11,THB_XRP,0,sell,limit
10,20,11,THB_XRP,0,sell,limit
11,20,11,THB_XRP,0,sell,limit
12,20,11,THB_XRP,0,sell,limit
13,20,11,THB_XRP,0,sell,limit
14,20,11,THB_XRP,0,sell,limit
15,20,11,THB_XRP,0,sell,limit
16,20,11,THB_XRP,0,sell,limit
17,20,11,THB_XRP,0,sell,limit
18,20,11,THB_XRP,0,sell,limit
19,20,11,THB_XRP,0,sell,limit
20,20,11,THB_XRP,0,sell,limit
